Sort algorithm time record(Millisecond):,,,,,,,,,,,
Data size,mergeSort,mergeSortNotOpt,radixSort,sort(STL),quickSort,quickStNotOpt,heapSort,shellSort,insertionSort,bubbleSort,selectionSort
5500,0.2246,0.2402,0.3759,0.3996,0.2556,0.3651,0.4778,0.3537,4.0593,13.984,31.2103
5600,0.2096,0.2694,0.4596,0.2719,0.3096,0.4446,0.4956,0.4254,5.4547,16.1294,29.3447
5700,0.2432,0.224,0.4456,0.2406,0.3877,0.4345,0.4903,0.4008,4.6444,14.9176,30.0081
5800,0.2007,0.2606,0.3778,0.2491,0.2827,0.3616,0.4965,0.3668,5.1126,14.9846,33.1507
5900,0.35,0.2495,0.5033,0.3262,0.2951,0.3953,0.5496,0.4416,5.969,17.6556,33.9096
6000,0.2135,0.2436,0.4124,0.256,0.3679,0.3433,0.5412,0.4115,5.096,21.9416,34.5846
6100,0.211,0.2739,0.4539,0.2868,0.3847,0.5955,0.5284,0.4181,4.9756,17.7001,38.9343
6200,0.2922,0.3867,0.707,0.3847,0.3993,0.4333,0.5163,0.4907,7.4238,21.0824,37.8213
6300,0.2446,0.2814,0.4865,0.2752,0.2797,0.3715,0.5291,0.4164,5.799,18.8786,37.9084
6400,0.2159,0.2536,0.448,0.2716,0.2704,0.4047,0.5152,0.4368,6.2307,20.3578,42.2047
6500,0.2633,0.2815,0.6725,0.2891,0.2875,0.3746,0.5389,0.4243,5.5274,19.5719,44.9644
6600,0.234,0.3343,0.4446,0.2975,0.2986,0.3895,0.5569,0.4484,5.7701,20.6204,45.7952
6700,0.3524,0.42,0.5799,0.3376,0.3766,0.4772,0.6887,0.7677,9.3301,21.987,41.7623
6800,0.3118,0.2967,0.5146,0.3101,0.3782,0.4527,0.6156,0.4834,7.5079,21.045,45.8214
6900,0.2765,0.3141,0.5044,0.4209,0.4363,0.6083,0.8041,0.496,7.2857,21.661,45.0466
7000,0.2826,0.3645,0.4832,0.3105,0.3122,0.4259,0.6485,0.5296,7.0005,22.8576,46.9059
7100,0.242,0.2902,0.4936,0.3783,0.3457,0.485,0.6742,0.4797,7.0961,24.4182,48.7994
7200,0.3131,0.3566,0.5983,0.3097,0.3119,0.5149,0.652,0.5721,8.0662,24.4524,49.2489
7300,0.2804,0.2933,0.4922,0.3321,0.3422,0.4386,0.6152,0.5181,8.2383,29.2217,51.6506
7400,0.316,0.2978,0.4786,0.3525,0.3555,0.5277,0.7334,0.5279,8.0033,24.4952,51.4559
7500,0.376,0.4266,0.5868,0.4234,0.3759,0.6329,0.9093,0.7508,8.9277,26.6579,55.0245
7600,0.266,0.3173,0.4943,0.3388,0.3523,0.4793,0.6475,0.5245,8.5334,27.3718,54.8537
7700,0.2891,0.3827,0.9807,0.4302,0.4242,0.5494,0.8638,0.5639,8.8952,26.9457,55.6758
7800,0.278,0.345,0.652,0.4347,0.4441,0.6001,0.7826,0.5564,8.4798,27.8722,60.6254
7900,0.3116,0.3444,0.5823,0.4643,0.4142,0.4724,0.6627,0.5517,9.0691,28.4258,63.6731
8000,0.2759,0.3557,0.6607,0.3334,0.6394,0.6974,0.687,0.6366,9.1673,30.3076,62.1508
8100,0.2947,0.3809,0.6737,0.4707,0.4744,0.4491,0.7588,0.6714,9.6102,32.009,64.1405
8200,0.2929,0.4373,0.673,0.4193,0.4284,0.5411,0.7025,0.5761,10.3766,31.2336,65.2639
8300,0.2667,0.3189,0.7145,0.4629,0.4752,0.7702,0.7999,0.6884,10.0543,32.5013,68.6453
8400,0.3894,0.4476,0.6511,0.4532,0.4161,0.9275,0.7403,0.6889,10.2935,32.7011,72.6368
8500,0.4251,0.5268,0.7534,0.5301,0.5126,0.6437,0.912,0.6533,11.5743,35.2664,68.805
8600,0.3648,0.4965,0.7492,0.4204,0.4567,0.647,0.7303,0.6596,10.2003,35.1474,75.7557
8700,0.3138,0.5012,0.719,0.5896,0.6006,0.7314,0.9152,0.7028,15.1959,35.1311,74.7357
8800,0.3761,0.4083,0.6113,0.4297,0.5301,0.5159,0.8527,0.802,15.7775,37.6454,75.7832
8900,0.3994,0.3675,0.6496,0.4537,0.3989,0.5933,0.79,0.7071,12.0581,36.7507,80.6366
9000,0.3183,0.3815,0.598,0.414,0.4202,0.577,0.7768,0.6404,12.8598,39.1395,77.7161
9100,0.3155,0.5281,0.6344,0.4387,0.4839,0.5595,0.8008,0.7232,13.7681,40.2366,80.7383
9200,0.3204,0.4328,0.6889,0.4342,0.5817,0.5471,0.9009,0.8164,12.6652,39.8128,83.9559
9300,0.4603,0.4066,0.7892,0.5848,0.4596,0.5781,0.8169,0.6963,11.7896,41.7211,84.3816
9400,0.465,0.5294,0.8784,0.6467,0.5291,0.8144,0.8218,0.7262,13.9381,41.9024,83.8017
9500,0.3758,0.422,0.6519,0.4631,0.4654,0.7402,0.8983,0.775,12.8649,42.4592,87.1865
9600,0.3855,0.393,0.7535,0.4427,0.563,0.626,0.8624,0.7997,12.741,43.026,89.0903
9700,0.4949,0.419,0.7262,0.4507,0.4984,0.7273,0.8697,0.7294,13.0207,41.9083,91.4482
9800,0.4598,0.5247,0.8141,0.5086,0.5022,0.624,0.9122,0.8579,14.1927,44.4195,92.4048
9900,0.3725,0.4941,0.8615,0.488,0.4756,0.6699,0.8541,0.8266,13.6313,45.6748,93.198
10000,0.3641,0.4113,0.7583,0.4555,0.4822,0.6266,0.9486,0.8861,15.0128,45.3708,96.0413
10100,0.364,0.4796,0.7191,0.4923,0.4762,0.647,0.8951,0.8638,13.6754,50.1225,
10200,0.487,0.6115,0.7686,0.4879,0.4902,0.7081,1.0688,0.8521,15.0194,,
10300,0.3967,0.4611,0.7003,0.5488,0.5605,0.6162,0.9346,0.7667,14.7817,,
10400,0.439,0.4916,0.8962,0.5772,0.5504,0.6488,0.9602,0.7986,15.9196,,
10500,0.3986,0.423,0.9014,0.5666,0.4922,0.7852,1.1911,0.9768,17.7498,,
10600,0.6168,0.5835,0.8745,0.4779,0.5497,0.7624,1.0125,0.7924,16.1507,,
10700,0.415,0.4452,0.7214,0.5174,0.5403,0.648,1.0086,0.8293,15.7107,,
10800,0.3944,0.4809,0.752,0.5035,0.581,0.7981,0.9741,0.8609,17.3125,,
10900,0.4329,0.4548,1.0276,0.5473,0.491,0.8143,1.0017,1.0494,17.5014,,
11000,0.5172,0.6189,0.761,0.4877,0.6099,0.704,1.2253,0.8793,17.7015,,
11100,0.4648,0.4864,0.7529,0.5043,0.5196,0.6866,1.0203,0.8195,17.2593,,
11200,0.4807,0.5638,0.783,0.5076,0.5815,0.6652,1.0344,1.1389,18.5019,,
11300,0.5236,0.6414,0.875,0.7209,0.5403,0.8185,1.0764,0.8461,19.2288,,
11400,0.4566,0.4901,0.8345,0.566,0.5867,0.7326,1.1139,0.8282,18.2619,,
